,created_at,user,text,favorite_count,retweet_count
0,2023-01-09 14:02:31+00:00,SismologicoMX,"SISMO Magnitud 3.5 Loc. 63 km al SUROESTE de MAPASTEPEC, CHIS 09/01/23 04:05:24 Lat 15.14 Lon -93.39 Pf 71 km",48,5
1,2023-01-09 14:02:28+00:00,SismologicoMX,"SISMO Magnitud 3.4 Loc. 24 km al NOROESTE de VICENTE GUERRERO, BC 09/01/23 03:32:06 Lat 30.86 Lon -116.19 Pf 7 km",18,4
2,2023-01-09 14:02:24+00:00,SismologicoMX,"SISMO Magnitud 3.9 Loc. 23 km al SUROESTE de COALCOMAN, MICH 08/01/23 23:30:07 Lat 18.59 Lon -103.25 Pf 9 km",15,2
3,2023-01-09 14:02:20+00:00,SismologicoMX,"SISMO Magnitud 3.6 Loc. 10 km al SUROESTE de PINOTEPA NACIONAL, OAX 08/01/23 22:42:41 Lat 16.26 Lon -98.09 Pf 14 km",15,1
4,2023-01-09 14:02:17+00:00,SismologicoMX,"SISMO Magnitud 3.9 Loc. 6 km al NORESTE de TECPAN, GRO 08/01/23 22:14:51 Lat 17.24 Lon -100.58 Pf 40 km",11,3
5,2023-01-09 14:02:13+00:00,SismologicoMX,"SISMO Magnitud 3.7 Loc. 56 km al SURESTE de UNION HIDALGO, OAX 08/01/23 22:09:14 Lat 16.01 Lon -94.63 Pf 63 km",13,1
6,2023-01-09 14:02:10+00:00,SismologicoMX,"SISMO Magnitud 3.5 Loc. 17 km al NORESTE de STA LUCIA DEL CAMINO, OAX 08/01/23 21:33:23 Lat 17.21 Lon -96.65 Pf 71 km",10,1
7,2023-01-09 14:02:05+00:00,SismologicoMX,"SISMO Magnitud 4.0 Loc  25 km al SUROESTE de TECPAN, GRO 08/01/23 21:07:07 Lat 17.02 Lon -100.72 Pf 5 km https://t.co/GpLFhXoLx8",26,5
8,2023-01-09 14:02:02+00:00,SismologicoMX,"SISMO Magnitud 4.0 Loc. 25 km al SUROESTE de TECPAN, GRO 08/01/23 21:07:07 Lat 17.02 Lon -100.72 Pf 5 km",10,1
9,2023-01-09 14:01:23+00:00,SismologicoMX,"SISMO Magnitud 3.5 Loc. 74 km al SUROESTE de OMETEPEC, GRO 09/01/23 03:29:36 Lat 16.20 Lon -98.89 Pf 17 km",25,3
10,2023-01-09 14:01:19+00:00,SismologicoMX,"SISMO Magnitud 3.4 Loc. 65 km al NOROESTE de TEHUANTEPEC, OAX 09/01/23 02:02:28 Lat 16.65 Lon -95.74 Pf 71 km",18,5
11,2023-01-09 14:01:16+00:00,SismologicoMX,"SISMO Magnitud 3.5 Loc. 29 km al SURESTE de TECOMAN, COL 09/01/23 01:35:52 Lat 18.70 Lon -103.70 Pf 3 km",16,3
