,user,text,favorite_count,retweet_count,created_at
0,SismologicoMX,"SISMO Magnitud 3.9 Loc. 110 km al SUROESTE de TONALA, CHIS 07/01/23 23:22:48 Lat 15.28 Lon -94.36 Pf 16 km",80,4,2023-01-08 14:09:19+00:00
1,SismologicoMX,"SISMO Magnitud 3.7 Loc. 26 km al NOROESTE de PINOTEPA NACIONAL, OAX 07/01/23 22:58:14 Lat 16.49 Lon -98.24 Pf 30 km",40,5,2023-01-08 14:09:15+00:00
2,SismologicoMX,"SISMO Magnitud 2.8 Loc. 45 km al OESTE de MIAHUATLAN, OAX 07/01/23 22:36:51 Lat 16.38 Lon -97.01 Pf 10 km",37,6,2023-01-08 14:09:11+00:00
3,SismologicoMX,"SISMO Magnitud 3.4 Loc. 129 km al SUROESTE de TECPAN, GRO 07/01/23 22:31:22 Lat 16.19 Lon -101.18 Pf 10 km",40,3,2023-01-08 14:08:45+00:00
4,SismologicoMX,"SISMO Magnitud 3.7 Loc. 31 km al OESTE de LAZARO CARDENAS, BC 08/01/23 04:38:57 Lat 30.55 Lon -116.25 Pf 10 km",54,1,2023-01-08 14:08:25+00:00
5,SismologicoMX,"SISMO Magnitud 3.5 Loc. 142 km al SUROESTE de TONALA, CHIS 08/01/23 04:19:37 Lat 14.93 Lon -94.33 Pf 16 km",30,0,2023-01-08 14:08:11+00:00
6,SismologicoMX,"SISMO Magnitud 2.9 Loc. 50 km al SUR de PINOTEPA NACIONAL, OAX 07/01/23 22:40:25 Lat 15.89 Lon -98.08 Pf 16 km",19,1,2023-01-08 14:08:03+00:00
7,SismologicoMX,"SISMO Magnitud 3.8 Loc. 12 km al SURESTE de MATIAS ROMERO, OAX 08/01/23 03:19:54 Lat 16.77 Lon -95.00 Pf 103 km",26,2,2023-01-08 14:08:00+00:00
8,SismologicoMX,"SISMO Magnitud 3.7 Loc. 28 km al SUROESTE de COALCOMAN, MICH 08/01/23 02:11:09 Lat 18.54 Lon -103.26 Pf 32 km",21,0,2023-01-08 14:07:49+00:00
9,SismologicoMX,"SISMO Magnitud 3.6 Loc. 16 km al SURESTE de PINOTEPA NACIONAL, OAX 08/01/23 01:51:33 Lat 16.28 Lon -97.92 Pf 10 km",35,3,2023-01-08 14:07:36+00:00
10,SismologicoMX,"SISMO Magnitud 3.6 Loc. 90 km al SUROESTE de MAPASTEPEC, CHIS 08/01/23 01:30:26 Lat 14.69 Lon -93.21 Pf 16 km",19,0,2023-01-08 14:07:29+00:00
11,SismologicoMX,"SISMO Magnitud 3.3 Loc. 49 km al NOROESTE de CINTALAPA, CHIS 08/01/23 00:45:57 Lat 16.92 Lon -94.12 Pf 137 km",20,0,2023-01-08 14:07:22+00:00
12,SismologicoMX,"SISMO Magnitud 2.1 Loc. 70 km al SUROESTE de COALCOMAN, MICH 08/01/23 00:28:18 Lat 18.21 Lon -103.44 Pf 20 km",20,0,2023-01-08 14:07:15+00:00
13,SismologicoMX,"SISMO Magnitud 3.5 Loc. 38 km al SURESTE de TONALA, CHIS 08/01/23 00:26:14 Lat 15.82 Lon -93.54 Pf 91 km",23,0,2023-01-08 14:07:08+00:00
14,SismologicoMX,"SISMO Magnitud 3.2 Loc. 64 km al SUR de JALTIPAN DEMORELOS, VER 08/01/23 00:18:01 Lat 17.40 Lon -94.60 Pf 147 km",20,2,2023-01-08 14:07:03+00:00
15,SismologicoMX,"SISMO Magnitud 3.6 Loc. 39 km al SUR de J RODRIGUEZ CLARA, VER 07/01/23 21:20:40 Lat 17.64 Lon -95.38 Pf 104 km",15,2,2023-01-08 14:06:57+00:00
16,SismologicoMX,"SISMO Magnitud 3.5 Loc. 30 km al SUROESTE de OMETEPEC, GRO 07/01/23 22:17:42 Lat 16.45 Lon -98.55 Pf 2 km",17,1,2023-01-08 14:06:52+00:00
17,SismologicoMX,"SISMO Magnitud 3.9 Loc. 18 km al OESTE de RIO GRANDE, OAX 07/01/23 21:48:13 Lat 16.00 Lon -97.60 Pf 12 km",19,0,2023-01-08 14:06:47+00:00
18,SismologicoMX,"SISMO Magnitud 3.3 Loc. 55 km al NORESTE de PETATLAN, GRO 07/01/23 21:25:29 Lat 17.97 Lon -101.01 Pf 59 km",12,1,2023-01-08 14:06:43+00:00
19,SismologicoMX,"SISMO Magnitud 3.8 Loc. 189 km al SUROESTE de MAPASTEPEC, CHIS 07/01/23 21:23:04 Lat 14.22 Lon -94.12 Pf 15 km",21,0,2023-01-08 14:06:39+00:00
20,SismologicoMX,"SISMO Magnitud 3.4 Loc. 59 km al SUR de JALTIPAN DEMORELOS, VER 07/01/23 21:19:23 Lat 17.44 Lon -94.62 Pf 135 km",21,1,2023-01-08 14:06:35+00:00
21,SismologicoMX,"SISMO Magnitud 3.4 Loc. 49 km al NOROESTE de LA MIRA, MICH 07/01/23 20:54:47 Lat 18.29 Lon -102.72 Pf 16 km",25,2,2023-01-08 14:06:31+00:00
22,SismologicoMX,"SISMO Magnitud 3.4 Loc. 27 km al NORTE de GPE VICTORIA(KM.43), BC 07/01/23 20:52:49 Lat 32.53 Lon -115.16 Pf 18 km",15,0,2023-01-08 14:06:27+00:00
23,SismologicoMX,"SISMO Magnitud 3.5 Loc. 17 km al OESTE de LAZARO CARDENAS, BC 07/01/23 20:23:11 Lat 30.50 Lon -116.10 Pf 42 km",16,0,2023-01-08 14:06:23+00:00
24,SismologicoMX,"SISMO Magnitud 3.5 Loc. 21 km al NOROESTE de VICENTE GUERRERO, BC 07/01/23 19:46:44 Lat 30.85 Lon -116.15 Pf 9 km",25,1,2023-01-08 14:06:19+00:00
25,SismologicoMX,"SISMO Magnitud 3.3 Loc. 20 km al SUROESTE de PINOTEPA NACIONAL, OAX 07/01/23 19:31:33 Lat 16.21 Lon -98.19 Pf 11 km",16,1,2023-01-08 14:06:14+00:00
26,SismologicoMX,"SISMO Magnitud 2.8 Loc. 16 km al SURESTE de TECPAN, GRO 07/01/23 19:07:50 Lat 17.09 Lon -100.57 Pf 10 km",15,1,2023-01-08 14:06:10+00:00
27,SismologicoMX,"SISMO Magnitud 3.4 Loc. 34 km al SUR de COALCOMAN, MICH 07/01/23 18:43:00 Lat 18.48 Lon -103.24 Pf 56 km",26,0,2023-01-08 14:06:06+00:00
28,SismologicoMX,"SISMO Magnitud 3.8 Loc. 188 km al SUROESTE de PIJIJIAPAN, CHIS 07/01/23 18:52:24 Lat 14.27 Lon -94.17 Pf 10 km",17,1,2023-01-08 14:06:02+00:00
29,SismologicoMX,"SISMO Magnitud 3.3 Loc. 43 km al SUR de TECOMAN, COL 07/01/23 17:50:00 Lat 18.52 Lon -103.84 Pf 16 km",34,1,2023-01-08 14:05:02+00:00
30,SismologicoMX,A las 08:00 a.m. inicia el envío del reporte matutino de sismicidad que incluye los sismos de magnitud menor a 4.0 actualizado hasta las 05:00 a.m.,47,3,2023-01-08 13:54:16+00:00
31,SismologicoMX,"SISMO Magnitud 4.2 Loc  23 km al OESTE de TECPAN, GRO 08/01/23 04:49:17 Lat 17.27 Lon -100.84 Pf 12 km https://t.co/ILBwYZdKhP",128,19,2023-01-08 11:05:05+00:00
32,SismologicoMX,"SISMO Magnitud 4.2 Loc. 23 km al OESTE de TECPAN, GRO 08/01/23 04:49:17 Lat 17.27 Lon -100.84 Pf 12 km",79,5,2023-01-08 11:05:02+00:00
33,SismologicoMX,"SISMO Magnitud 4.3 Loc  185 km al SUROESTE de PIJIJIAPAN, CHIS 08/01/23 04:21:10 Lat 14.40 Lon -94.31 Pf 17 km https://t.co/jopY4lUn9I",108,17,2023-01-08 10:36:05+00:00
34,SismologicoMX,"SISMO Magnitud 4.3 Loc. 185 km al SUROESTE de PIJIJIAPAN, CHIS 08/01/23 04:21:10 Lat 14.40 Lon -94.31 Pf 17 km",103,8,2023-01-08 10:36:02+00:00
35,SismologicoMX,"SISMO Magnitud 4.0 Loc  20 km al SUROESTE de CINTALAPA, CHIS 08/01/23 00:33:58 Lat 16.59 Lon -93.87 Pf 137 km https://t.co/Ihudh4ggrV",116,11,2023-01-08 06:50:05+00:00
36,SismologicoMX,"SISMO Magnitud 4.0 Loc. 20 km al SUROESTE de CINTALAPA, CHIS 08/01/23 00:33:58 Lat 16.59 Lon -93.87 Pf 137 km",82,2,2023-01-08 06:50:02+00:00
37,SismologicoMX,"SISMO Magnitud 4.3 Loc  20 km al NOROESTE de ARRIAGA , CHIS 07/01/23 20:03:02 Lat 16.29 Lon -94.08 Pf 107 km https://t.co/JZlIm4z9pG",200,36,2023-01-08 02:29:05+00:00
